date,year,month,total_rainfall_inches,days_with_rain,max_daily_rainfall,max_hourly_rainfall,notable_events,infrastructure_capacity_exceeded,storm_name
1999-01-01,1999,1,3.2,8,0.85,0.6,Normal winter precipitation,No,
1999-02-01,1999,2,2.1,6,0.45,0.4,Driest month typical,No,
1999-03-01,1999,3,4.1,10,1.2,0.8,Spring rains begin,No,
1999-04-01,1999,4,3.8,9,0.95,0.7,Normal spring,No,
1999-05-01,1999,5,4.5,11,1.4,0.9,Typical May,No,
1999-06-01,1999,6,3.7,9,1.1,0.8,Normal summer start,No,
1999-07-01,1999,7,5.2,12,2.1,1.8,Warmest July in history,Yes,
1999-08-01,1999,8,4.3,10,1.3,0.9,Normal August,No,
1999-09-01,1999,9,3.9,8,1.0,0.7,Normal September,No,
1999-10-01,1999,10,3.1,7,0.8,0.6,Dry October,No,
1999-11-01,1999,11,4.2,9,1.1,0.8,Normal November,No,
1999-12-01,1999,12,3.4,8,0.9,0.7,Normal December,No,
2000-01-01,2000,1,2.8,7,0.7,0.5,Mild winter,No,
2000-02-01,2000,2,2.3,6,0.6,0.4,Typical February,No,
2000-03-01,2000,3,4.6,11,1.5,1.0,Wet March,No,
2000-04-01,2000,4,4.2,10,1.3,0.9,Normal April,No,
2000-05-01,2000,5,3.9,9,1.0,0.7,Dry May,No,
2000-06-01,2000,6,4.8,12,1.8,1.2,Wet June,No,
2000-07-01,2000,7,4.1,10,1.4,0.9,Normal July,No,
2000-08-01,2000,8,5.3,13,2.2,1.4,Wet August,No,
2000-09-01,2000,9,4.7,11,1.6,1.1,Above normal,No,
2000-10-01,2000,10,2.9,7,0.8,0.6,Dry October,No,
2000-11-01,2000,11,3.8,9,1.0,0.7,Normal November,No,
2000-12-01,2000,12,3.1,8,0.9,0.6,Normal December,No,
2001-01-01,2001,1,3.5,8,1.1,0.8,Normal January,No,
2001-02-01,2001,2,2.0,5,0.5,0.4,Dry February,No,
2001-03-01,2001,3,4.3,10,1.4,0.9,Normal March,No,
2001-04-01,2001,4,4.1,11,1.2,0.8,Normal April,No,
2001-05-01,2001,5,4.8,12,1.6,1.0,Above normal May,No,
2001-06-01,2001,6,3.6,9,1.0,0.7,Normal June,No,
2001-07-01,2001,7,4.2,10,1.3,0.9,Normal July,No,
2001-08-01,2001,8,4.9,11,1.7,1.1,Above normal August,No,
2001-09-01,2001,9,0.8,3,0.4,0.3,Extremely dry September,No,
2001-10-01,2001,10,1.2,4,0.5,0.4,Very dry October,No,
2001-11-01,2001,11,5.1,12,1.8,1.2,Warmest November on record,No,
2001-12-01,2001,12,3.2,8,0.9,0.7,Mild December,No,
2002-01-01,2002,1,2.1,6,0.6,0.4,Mildest winter in history,No,
2002-02-01,2002,2,1.8,5,0.5,0.4,Mildest February,No,
2002-03-01,2002,3,4.5,10,1.5,1.0,Normal March,No,
2002-04-01,2002,4,3.9,9,1.2,0.8,Normal April,No,
2002-05-01,2002,5,4.7,11,1.5,1.0,Normal May,No,
2002-06-01,2002,6,4.1,10,1.3,0.9,Normal June,No,
2002-07-01,2002,7,5.3,12,1.9,1.3,Above normal July,No,
2002-08-01,2002,8,4.8,11,1.6,1.1,Normal August,No,
2002-09-01,2002,9,4.2,9,1.4,0.9,Normal September,No,
2002-10-01,2002,10,3.4,8,1.0,0.7,Normal October,No,
2002-11-01,2002,11,2.8,7,0.8,0.6,Dry November,No,
2002-12-01,2002,12,4.1,9,1.3,0.9,Normal December,No,
2003-01-01,2003,1,2.9,7,0.8,0.6,Normal January,No,
2003-02-01,2003,2,1.9,5,0.5,0.4,Dry February,No,
2003-03-01,2003,3,3.8,9,1.2,0.8,Normal March,No,
2003-04-01,2003,4,5.2,12,1.8,1.2,Wet April,No,
2003-05-01,2003,5,4.6,11,1.5,1.0,Normal May,No,
2003-06-01,2003,6,5.1,13,1.9,1.3,Wet June,No,
2003-07-01,2003,7,4.9,11,1.7,1.1,Above normal July,No,
2003-08-01,2003,8,3.2,8,1.0,0.7,Dry August,No,
2003-09-01,2003,9,6.8,14,2.4,1.6,Hurricane Isabel remnants,No,Hurricane Isabel
2003-10-01,2003,10,3.5,8,1.1,0.8,Normal October,No,
